Reports totals:
__arbitrum_0x040d1edc9569d4bab2d15287dc5a4f10f56a56b8.json: 10149.99999983
__arbitrum_0x4e352cf164e64adcbad318c3a1e222e9eba4ce42.json: 874.9999999799999
__arbitrum_0x965772e0e9c84b6f359c8597c891108dcf1c5b1a.json: 1023.00000001
__ethereum_0x226f7b842e0f0120b7e194d05432b3fd14773a9d.json: 160714.28571428
__ethereum_0x43d4a3cd90ddd2f8f4f693170c9c8098163502ad.json: 2571.42857142
__ethereum_0x5a98fcbea516cf06857215779fd812ca3bef1b32.json: 32142.857142810004
__ethereum_0x81f8f0bb1cb2a06649e51913a151f0e7ef6fa321.json: 2014.28571426
__ethereum_0xba100000625a3754423978a60c9317c58a424e3d.json: 47228.57142803
__polygon_0x2e1ad108ff1d8c782fcbbb89aad783ac49586756.json: 54999.999999739994
__polygon_0x580a84c73811e1839f75d86d75d88cca0c241ff4.json: 20000.0000003
__polygon_0x9a71012b13ca4d3d0cdc72a177df3ef03b0e76a3.json: 24650.0000002
__polygon_0xC3C7d422809852031b44ab29EEC9F1EfF2A58756.json: 7500.0000000400005
__polygon_0xF501dd45a1198C2E1b5aEF5314A68B9006D842E0.json: 12221.99999992
__polygon_0xdf7837de1f2fa4631d716cf2502f8b230f1dcc32.json: 1666666.7400000002
_totals.json: 47228.57142803
